species;scenario;rbf;svm;consensus;wmean_auc;wmean_tss
clssm_mcrp;uk_ssp245_10_2090;0.925;0.25;0.5875;0.5633822916666666;0.3865027083333334
clssm_mcrp;uk_ssp245_10_2090;0.85;0.15;0.5;0.49613708333333334;0.3397954166666666
clssm_mcrp;uk_ssp245_10_2090;0.4;0.1;0.25;0.24143166666666668;0.16557333333333335
clssm_mcrp;uk_ssp245_10_2090;0.2;0.025;0.1125;0.11395375;0.07796750000000001
clssm_mcrp;uk_ssp245_10_2090;0.95;0.325;0.6375;0.5970675;0.41010375
clssm_mcrp;uk_ssp245_10_2090;0.875;0.325;0.6;0.5568706250000001;0.382673125
clssm_mcrp;uk_ssp245_10_2090;0.425;0.1;0.2625;0.25483062500000003;0.174716875
clssm_mcrp;uk_ssp245_10_2090;0.95;0.3;0.625;0.5903054166666666;0.40528458333333334
clssm_mcrp;uk_ssp245_10_2090;0.95;0.175;0.5625;0.556495;0.38118874999999997
clssm_mcrp;uk_ssp245_10_2090;1;0.175;0.5875;0.5832929166666666;0.3994758333333333
clssm_mcrp;uk_ssp245_10_2090;0.55;0.1;0.325;0.3218254166666667;0.22043458333333335
clssm_mcrp;uk_ssp245_10_2090;1;0.225;0.6125;0.5968170833333333;0.40911416666666667
clssm_mcrp;uk_ssp245_10_2090;1;0.15;0.575;0.5765308333333333;0.39465666666666666
clssm_mcrp;uk_ssp245_10_2090;0.525;0.05;0.28750000000000003;0.29490229166666665;0.20165270833333335
clssm_mcrp;uk_ssp245_10_2090;1;0.15;0.575;0.5765308333333333;0.39465666666666666
clssm_mcrp;uk_ssp245_10_2090;1;0.075;0.5375;0.5562445833333333;0.3801991666666667
clssm_mcrp;uk_ssp245_10_2090;0.975;0.075;0.525;0.542845625;0.37105562500000006
clssm_mcrp;uk_ssp245_10_2090;0.825;0.05;0.4375;0.4556897916666666;0.3113752083333333
clssm_mcrp;uk_ssp245_10_2090;0.075;0;0.0375;0.040196875;0.027430625
clssm_mcrp;uk_ssp245_10_2090;0.175;0;0.0875;0.09379270833333332;0.06400479166666666
clssm_mcrp;uk_ssp245_10_2090;0.125;0;0.0625;0.06699479166666666;0.04571770833333333
clssm_mcrp;uk_ssp245_10_2090;0.325;0.05;0.1875;0.18771062500000002;0.128504375
clssm_mcrp;uk_ssp245_10_2090;0.725;0.1;0.4125;0.41561812499999995;0.284439375
clssm_mcrp;uk_ssp245_10_2090;0.1;0.025;0.0625;0.06035791666666667;0.04139333333333334
clssm_mcrp;uk_ssp245_10_2090;0;0;0;0;0
clssm_mcrp;uk_ssp245_10_2090;0.025;0;0.0125;0.013398958333333334;0.009143541666666666
clssm_mcrp;uk_ssp245_10_2090;0.025;0;0.0125;0.013398958333333334;0.009143541666666666
clssm_mcrp;uk_ssp245_10_2090;0.375;0.2;0.2875;0.2550810416666667;0.17570645833333334
clssm_mcrp;uk_ssp245_10_2090;0.925;0.2;0.5625;0.549858125;0.37686437500000003
clssm_mcrp;uk_ssp245_10_2090;0.35;0.05;0.19999999999999998;0.20110958333333331;0.13764791666666665
clssm_mcrp;uk_ssp245_10_2090;0.825;0.15;0.4875;0.48273812499999996;0.330651875
